"gene_ID","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","rank","source","TFs"
"Chir01Ox-b18070.2",0,0.289888205214445,0.201,0.041,0,1,"GEP_38 and DEGs","No"
"Chir04Ox-b10990.2",0,0.524057711691617,0.264,0.045,0,2,"GEP_38 and DEGs","No"
"Chir04Ox-b10020.2",0,0.372784446484232,0.359,0.069,0,3,"GEP_38 and DEGs","Yes"
"Chir06Ox-b04340.2",2.18430585734703e-211,0.391012733142142,0.228,0.073,4.29434531554427e-207,4,"GEP_38 and DEGs","No"
"Chir05Ox-b21860.2",0,0.709856807697346,0.455,0.091,0,5,"GEP_38 and DEGs","No"
"Chir08Ox-b16160.2",6.18292746172226e-119,0.269495464163811,0.228,0.101,1.2155635389746e-114,6,"GEP_38 and DEGs","No"
"Chir01Ox-b43120.2",0,0.514741912207069,0.326,0.106,0,7,"GEP_38 and DEGs","No"
"Chir04Ox-b23190.2",0,0.768673703877895,0.487,0.107,0,8,"GEP_38 and DEGs","No"
"Chir06Ox-b24210.2",0,0.429358961401681,0.357,0.114,0,9,"GEP_38 and DEGs","Yes"
"Chir02Ox-b02960.2",1.99380863211975e-304,0.356619212427155,0.351,0.123,3.91982777074744e-300,10,"GEP_38 and DEGs","No"
"Chir04Ox-b28020.2",0,1.23446109845749,0.769,0.321,0,11,"DEGs","No"
"Chir03Ox-b00610.2",0,1.23598356072468,0.683,0.343,0,12,"DEGs","No"
"Chir04Ox-b21570.2",0,1.70177331877277,0.961,0.347,0,13,"DEGs","No"
"Chir06Ox-b18420.2",0,1.99901451760703,0.89,0.356,0,14,"DEGs","No"
"Chir01Ox-b08030.2",5.8023917880075e-262,0.278339060798594,0.679,0.358,1.14075022552227e-257,15,"DEGs","Yes"
"Chir02Ox-b19280.2",0,1.4473215210119,0.834,0.375,0,16,"DEGs","No"
"Chir08Ox-b17400.2",0,1.50102511411242,0.885,0.4,0,17,"DEGs","No"
"Chir04Ox-b16600.2",0,1.85566157887246,0.862,0.445,0,18,"DEGs","No"
"Chir04Ox-b28030.2",0,0.851679413306726,0.873,0.45,0,19,"DEGs","Yes"
"Chir07Ox-b20580.2",0,1.59286035214135,0.971,0.454,0,20,"DEGs","No"
"Chir08Ox-b00290.2",0,0.527075134849769,0.859,0.457,0,21,"DEGs","Yes"
"Chir06Ox-b09380.2",0,1.0605470663124,0.929,0.552,0,22,"DEGs","No"
"Chir01Ox-b20460.2",0,1.12950686130321,0.908,0.581,0,23,"DEGs","No"
