"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source","rank"
"Chir05Ox-b28440.2","Chir05Ox-b28440.2","AT3G62820","F26K9.250",1.50343929998237,0.549,0.001,0,0,NA,NA,"enzyme inhibitor activity, negative regulation of catalytic activity","GEP_42and DEGs",1
"Chir04Ox-b00240.2","Chir04Ox-b00240.2","AT2G21140","ATPRP2",1.57215883084191,0.179,0.001,0,0,NA,NA,"cell differentiation, plant-type cell wall, plant-type cell wall organization","DEGs",2
"Chir05Ox-b21110.2","Chir05Ox-b21110.2","AT3G55500","ATEXPA16",2.53535377984474,0.416,0.002,0,0,NA,NA,"extracellular region, plant-type cell wall loosening, plant-type cell wall organization, syncytium formation, unidimensional cell growth","GEP_28and DEGs",3
"Chir01Ox-b03780.2","Chir01Ox-b03780.2","AT1G04660","T1G11.8",1.72290934149876,0.451,0.002,0,0,NA,NA,"biological_process, cellular_component, molecular_function","GEP_42and DEGs",4
"Chir03Ox-b05620.2","Chir03Ox-b05620.2","AT3G06120","MUTE",3.44027598834668,0.445,0.002,0,0,"Yes","bHLH","DNA-binding transcription factor activity, epidermal cell differentiation, guard cell differentiation, nucleus, positive regulation of DNA-templated transcription, protein dimerization activity, stomatal complex development, transcription cis-regulatory region binding","GEP_42and DEGs",5
"Chir07Ox-b23500.2","Chir07Ox-b23500.2",NA,NA,1.74708416056483,0.728,0.002,0,0,NA,NA,NA,"GEP_42and DEGs",6
"Chir01Ox-b08370.2","Chir01Ox-b08370.2","AT1G08810","AtMYB60",1.18259826914245,0.48,0.003,0,0,"Yes","MYB","DNA-binding transcription factor activity, negative regulation of response to water deprivation, nucleus, response to abscisic acid, response to absence of light, response to auxin, response to blue light, response to cold, response to light stimulus, response to salt, response to sucrose, response to UV, response to water deprivation, stomatal movement, transcription cis-regulatory region binding","GEP_28and DEGs",7
"Chir02Ox-b18370.2","Chir02Ox-b18370.2","AT1G71866","EPFL7",2.42115985202971,0.566,0.003,0,0,NA,NA,"extracellular region, guard cell differentiation, molecular_function, stomatal complex development","GEP_42and DEGs",8
"Chir03Ox-b35560.2","Chir03Ox-b35560.2","AT2G20875","EPF1",2.44959124412325,0.671,0.003,0,0,NA,NA,"extracellular region, guard cell differentiation, molecular_function, negative regulation of stomatal complex development, stomatal complex development, stomatal complex patterning","GEP_42and DEGs",9
"Chir01Ox-b17020.2","Chir01Ox-b17020.2","AT1G16960","F17F16.18",1.66986945482418,0.549,0.004,0,0,NA,NA,"biological_process, cytoplasm, molecular_function","GEP_28and DEGs",10
"Chir06Ox-b31760.2","Chir06Ox-b31760.2","AT5G07190","ATS3",1.30653587765978,0.526,0.004,0,0,NA,NA,"embryo development ending in seed dormancy, extracellular region, membrane, molecular_function, nucleus","GEP_42and DEGs",11
"Chir01Ox-b32160.2","Chir01Ox-b32160.2","AT1G33540","scpl18",1.2497050603692,0.699,0.005,0,0,NA,NA,"acyltransferase activity, transferring groups other than amino-acyl groups, extracellular region, proteolysis, secondary metabolic process, serine-type carboxypeptidase activity","GEP_42and DEGs",12
"Chir02Ox-b17620.2","Chir02Ox-b17620.2","AT1G71050","HIPP20",1.36827971233501,0.237,0.005,1.63729040551103e-302,3.21891293723468e-298,NA,NA,"cadmium ion homeostasis, cytoplasm, detoxification of cadmium ion, molecular_function","DEGs",13
"Chir08Ox-b21640.2","Chir08Ox-b21640.2",NA,NA,1.36361715792897,0.116,0.006,1.21117473533127e-65,2.38116952966128e-61,NA,NA,NA,"GEP_28and DEGs",14
"Chir03Ox-b24280.2","Chir03Ox-b24280.2","AT3G24140","FMA",1.55123924176394,0.445,0.006,0,0,"Yes","bHLH","DNA-binding transcription factor activity, guard cell differentiation, guard cell fate commitment, guard mother cell differentiation, negative regulation of cell division, negative regulation of histone H3-K27 methylation, nucleus, positive regulation of cell differentiation, positive regulation of DNA-templated transcription, protein binding, protein dimerization activity, response to low humidity, stomatal complex development","DEGs",15
"Chir05Ox-b04350.2","Chir05Ox-b04350.2","AT3G26960","MOJ10.4",1.15748820459391,0.382,0.007,0,0,NA,NA,"extracellular region, molecular_function, pattern specification process, response to light stimulus, shoot system development","DEGs",16
