"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source","rank"
"Chir02Ox-b03100.2","Chir02Ox-b03100.2","AT1G62360","STM",1.80540881027457,0.703,0.003,0,0,"Yes","TALE","carpel development, cytokinin biosynthetic process, cytoplasm, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, endosome, floral meristem determinacy, microtubule cytoskeleton, nucleus, plasma membrane, plasmodesma, plasmodesmata-mediated intercellular transport, protein binding, protein homodimerization activity, regulation of meristem structural organization, regulation of transcription by RNA polymerase II, RNA binding, RNA polymerase II cis-regulatory region sequence-specific DNA binding, stem cell population maintenance","GEP_23and DEGs",1
"Chir02Ox-b17040.2","Chir02Ox-b17040.2","AT1G70510","KNAT2",1.25199892033137,0.745,0.004,0,0,"Yes","TALE","cytokinin-activated signaling pathway, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, response to ethylene, RNA polymerase II cis-regulatory region sequence-specific DNA binding, specification of carpel identity","GEP_23and DEGs",2
"Chir08Ox-b10180.2","Chir08Ox-b10180.2","AT4G08150","KNAT1",2.95517166790137,0.887,0.007,0,0,"Yes","TALE","cell fate commitment, cell fate specification, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, identical protein binding, nucleus, protein binding, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, transcription cis-regulatory region binding, xylem and phloem pattern formation, xylem development","GEP_23and DEGs",3
"Chir06Ox-b35090.2","Chir06Ox-b35090.2","AT5G03840","TFL1",1.20135046609512,0.171,0.008,1.33934342282801e-215,2.63314916927988e-211,NA,NA,"cytoplasm, meristem determinacy, negative regulation of flower development, nucleus, plasma membrane, protein targeting to vacuole, response to sucrose, transcription coregulator activity, vacuole, vegetative to reproductive phase transition of meristem, vesicle","GEP_23and DEGs",4
"Chir03Ox-b11670.2","Chir03Ox-b11670.2","AT3G12500","ATHCHIB",1.12483835711931,0.192,0.021,8.76787659283808e-108,1.72376453815197e-103,NA,NA,"cell wall macromolecule catabolic process, chitinase activity, defense response to fungus, extracellular region, intracellular anatomical structure, jasmonic acid and ethylene-dependent systemic resistance, ethylene mediated signaling pathway, plant-type vacuole, secretory vesicle, vacuole","DEGs",5
"Chir08Ox-b30210.2","Chir08Ox-b30210.2","AT5G66350","SHI",0.924548035762634,0.533,0.024,0,0,"Yes","SRS","anther development, DNA binding, DNA-binding transcription factor activity, gibberellic acid mediated signaling pathway, negative regulation of gibberellic acid mediated signaling pathway, nucleus, pollen development, positive regulation of DNA-templated transcription, protein binding, protein heterodimerization activity, regulation of DNA-templated transcription, response to gibberellin, transcription cis-regulatory region binding","DEGs",6
"Chir03Ox-b23410.2","Chir03Ox-b23410.2","AT3G23290","LSH4",2.22850979732498,0.85,0.025,0,0,NA,NA,"mitochondrion, mRNA transcription, nucleus, post-embryonic plant morphogenesis, response to light stimulus","GEP_23and DEGs",7
"Chir08Ox-b19950.2","Chir08Ox-b19950.2","AT5G57785",NA,1.11062121961861,0.213,0.025,4.31374392313968e-112,8.48082055289262e-108,NA,NA,"biological_process, mitochondrion, molecular_function","DEGs",8
"Chir01Ox-b11440.2","Chir01Ox-b11440.2","AT1G11580","ATPMEPCRA",1.90558918410034,0.375,0.028,0,0,NA,NA,"cell wall modification, enzyme inhibitor activity, extracellular region, membrane, pectin catabolic process, pectinesterase activity, pectinesterase inhibitor activity, plant-type cell wall, plant-type vacuole, response to bacterium, rRNA N-glycosylase activity","GEP_23and DEGs",9
"Chir06Ox-b36910.2","Chir06Ox-b36910.2","AT5G02030","LSN",0.815939947672394,0.577,0.03,0,0,"Yes","TALE","cytosol, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, floral whorl morphogenesis, fruit development, internode patterning, maintenance of floral meristem identity, maintenance of inflorescence meristem identity, negative regulation of DNA-templated transcription, nucleus, pattern specification process, plant organ formation, protein binding, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding, secondary shoot formation, sequence-specific DNA binding, shoot system development, vegetative to reproductive phase transition of meristem, xylem and phloem pattern formation, xylem development","DEGs",10
"Chir01Ox-b13690.2","Chir01Ox-b13690.2","AT1G13710","CYP78A5",2.47145222837093,0.596,0.03,0,0,NA,NA,"chloroplast, endoplasmic reticulum, floral organ development, heme binding, iron ion binding, leaf formation, organ growth, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, positive regulation of cell population proliferation, positive regulation of organ growth, regulation of growth rate, regulation of meristem growth","DEGs",11
"Chir02Ox-b17390.2","Chir02Ox-b17390.2","AT1G70830","MLP28",1.23437799911955,0.102,0.03,1.84668437273285e-16,3.63058147679279e-12,NA,NA,"cell wall polysaccharide metabolic process, chloroplast, cytoplasm, cytosol, defense response, mitochondrion, molecular_function, nucleus","DEGs",12
"Chir03Ox-b19030.2","Chir03Ox-b19030.2","AT3G19200","MVI11.12",1.22553778855238,0.535,0.031,0,0,NA,NA,"defense response to other organism, molecular_function, nucleus","GEP_23and DEGs",13
"Chir03Ox-b03760.2","Chir03Ox-b03760.2","AT3G04510","LSH2",1.54464163592585,0.759,0.037,0,0,NA,NA,"chemical homeostasis, mRNA transcription, nucleus, post-embryonic plant morphogenesis, response to light stimulus","GEP_23and DEGs",14
"Chir07Ox-b33410.2","Chir07Ox-b33410.2","AT4G35900","FD",1.23987553975241,0.577,0.038,0,0,"Yes","bZIP","DNA-binding transcription factor activity, nucleus, photoperiodism, positive regulation of DNA-templated transcription, positive regulation of flower development, protein binding, protein self-association, regulation of DNA-templated transcription, regulation of flower development, regulation of photoperiodism, flowering","GEP_23and DEGs",15
"Chir04Ox-b12980.2","Chir04Ox-b12980.2","AT2G31160","LSH3",1.42774079711411,0.78,0.054,0,0,NA,NA,"maintenance of shoot apical meristem identity, mRNA transcription, nucleus, organ boundary specification between lateral organs and the meristem, petal development, post-embryonic plant morphogenesis, response to light stimulus, specification of petal number","GEP_23and DEGs",16
