"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","coefficient","rank","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir01Ox-b43670.2","Chir01Ox-b43670.2","AT1G55260","LTPG6",1.22752265533035,0.577,0.027,0.305239657534762,16,0,0,NA,NA,"defense response to fungus, membrane, nucleus","GEP_27"
"Chir06Ox-b24060.2","Chir06Ox-b24060.2","AT5G15310","ATMYB16",1.01863961302923,0.563,0.03,0.44235149293736,3,0,0,"Yes","MYB","cell morphogenesis, cuticle pattern formation, DNA-binding transcription factor activity, nucleus, regulation of cutin biosynthetic process","GEP_27"
"Chir05Ox-b15810.2","Chir05Ox-b15810.2","AT3G50470","HR3",1.14302395681335,0.73,0.043,0.304861064472164,17,0,0,NA,NA,"defense response to fungus, molecular_function, response to fungus","GEP_27"
"Chir04Ox-b23240.2","Chir04Ox-b23240.2","AT2G40475","ASG8",1.46446467984742,0.773,0.05,0.367819555276077,7,0,0,NA,NA,"carbohydrate derivative metabolic process, leaf development, molecular_function, nucleus, oxoacid metabolic process, plant organ morphogenesis, plant-type cell wall organization or biogenesis, porphyrin-containing compound metabolic process, secondary metabolic process, shoot system morphogenesis, tropism","GEP_27"
"Chir06Ox-b14130.2","Chir06Ox-b14130.2","AT5G25610","ATRD22",2.03142090041899,0.851,0.054,0.311925285127296,15,0,0,NA,NA,"endosome, extracellular region, Golgi apparatus, mRNA binding, nutrient reservoir activity, response to abscisic acid, response to desiccation, response to salt stress, trans-Golgi network","GEP_27"
"Chir01Ox-b05720.2","Chir01Ox-b05720.2","AT1G06360","AT1G06360.1",2.09502351152079,0.767,0.063,0.316281513141738,11,0,0,NA,NA,"16:0 monogalactosyldiacylglycerol desaturase activity, acyl-CoA desaturase activity, endoplasmic reticulum, endoplasmic reticulum membrane, mitochondrion, oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water, unsaturated fatty acid biosynthetic process, wax biosynthetic process","GEP_27"
"Chir03Ox-b04520.2","Chir03Ox-b04520.2","AT3G05165","AT3G05165.6",1.53606296686051,0.732,0.064,0.290907811261691,19,0,0,NA,NA,"membrane, mitochondrion, sugar transmembrane transporter activity, transmembrane transport, transmembrane transporter activity","GEP_27"
"Chir03Ox-b16150.2","Chir03Ox-b16150.2","AT3G16370","AT3G16370.1",2.46954466402021,0.887,0.066,0.316265948459059,12,0,0,NA,NA,"apoplast, chloroplast, hydrolase activity, acting on ester bonds","GEP_27"
"Chir03Ox-b24710.2","Chir03Ox-b24710.2","AT3G24420","AT3G24420.1",2.3096772204565,0.669,0.07,0.250506019533016,28,0,0,NA,NA,"catabolic process, cytoplasm, lipid metabolic process, nucleus, response to abscisic acid, response to hypoxia, response to jasmonic acid, response to light stimulus, secondary metabolic process","GEP_27"
"Chir07Ox-b12070.2","Chir07Ox-b12070.2","AT4G15620","AT4G15620.1",1.75397211857948,0.844,0.073,0.289407609678497,20,0,0,NA,NA,"4 iron, 4 sulfur cluster binding, mitochondrion, plasma membrane, regulation of cellular component organization, regulation of cellular component size","GEP_27"
