"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID","source","TF"
0,2.01077035289438,0.866,0.186,0,"Chir08Ox-b23950.2","DEGs","Yes"
5.66823227116393e-222,0.846132944934736,0.779,0.398,1.11437446451083e-217,"Chir01Ox-b04960.2","DEGs","Yes"
3.17990876498012e-156,0.738396372473494,0.726,0.384,6.25170063195091e-152,"Chir01Ox-b08030.2","DEGs","Yes"
0,0.688010934074269,0.491,0.032,0,"Chir06Ox-b31280.2","DEGs","Yes"
0,0.611776266923664,0.582,0.114,0,"Chir07Ox-b26310.2","DEGs","Yes"
4.59985575821498e-177,0.539256783476409,0.293,0.062,9.04331642065065e-173,"Chir07Ox-b35940.2","DEGs","Yes"
0,0.44298679457467,0.39,0.067,0,"Chir08Ox-b23350.2","DEGs","Yes"
6.34522441344859e-271,0.387834322028892,0.416,0.09,1.24747111968399e-266,"Chir07Ox-b00240.2","DEGs","Yes"
0,0.334533402994822,0.146,0.005,0,"Chir06Ox-b31270.2","DEGs","Yes"
1.89578816655125e-57,0.297747571986409,0.247,0.094,3.72711953543976e-53,"Chir04Ox-b10040.2","DEGs","Yes"
6.6814248656307e-215,1.31242078288243,0.103,0.006,1.313568128583e-210,"Chir03Ox-b19560.2","DEGs","No"
0,1.38688663694374,0.305,0.014,0,"Chir02Ox-b19530.2","DEGs","No"
0,1.59489670054121,0.209,0.014,0,"Chir08Ox-b03300.2","DEGs","No"
0,1.53575042581431,0.318,0.015,0,"Chir06Ox-b16730.2","DEGs","No"
0,1.89597691077638,0.33,0.018,0,"Chir06Ox-b16750.2","DEGs","No"
0,1.73565631207636,0.576,0.034,0,"Chir07Ox-b09390.2","DEGs","No"
0,1.20455440202347,0.34,0.035,0,"Chir07Ox-b35760.2","DEGs","No"
0,2.24019919358018,0.658,0.048,0,"Chir03Ox-b31670.2","DEGs","No"
0,2.39542375956067,0.727,0.052,0,"Chir07Ox-b09460.2","DEGs","No"
0,1.24917424090521,0.533,0.074,0,"Chir02Ox-b11540.2","DEGs","No"
