"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID","source","TF"
0,1.92585120780537,0.562,0.006,0,"Chir07Ox-b20540.2","DEGs","Yes"
0,1.16707505294172,0.734,0.01,0,"Chir05Ox-b16400.2","DEGs","Yes"
0,1.91473150974553,0.796,0.012,0,"Chir01Ox-b19700.2","DEGs","Yes"
0,1.09387475261089,0.56,0.022,0,"Chir07Ox-b33690.2","DEGs","Yes"
0,1.19210300756442,0.724,0.027,0,"Chir07Ox-b33770.2","DEGs","Yes"
0,1.24570765821547,0.601,0.041,0,"Chir06Ox-b35160.2","DEGs","Yes"
0,1.27301517405475,0.584,0.045,0,"Chir05Ox-b02980.2","DEGs","Yes"
0,1.11596062807901,0.608,0.051,0,"Chir04Ox-b23870.2","DEGs","Yes"
0,1.18122850550278,0.748,0.087,0,"Chir08Ox-b23440.2","DEGs","Yes"
6.47495708472463e-279,0.914914993569491,0.667,0.19,1.27297656285686e-274,"Chir04Ox-b29790.2","DEGs","Yes"
0,1.17339476338246,0.164,0.001,0,"Chir03Ox-b01000.2","DEGs","No"
0,1.20549927645969,0.201,0.001,0,"Chir04Ox-b26410.2","DEGs","No"
0,2.95098848071269,0.212,0.002,0,"Chir05Ox-b10320.2","DEGs","No"
0,1.31795419436044,0.201,0.002,0,"Chir07Ox-b31070.2","DEGs","No"
0,1.34266477640956,0.135,0.004,0,"Chir03Ox-b05160.2","DEGs","No"
0,1.07492063165693,0.479,0.005,0,"Chir04Ox-b26430.2","DEGs","No"
0,1.15834126806129,0.299,0.005,0,"Chir07Ox-b16670.2","DEGs","No"
0,1.03438924391624,0.626,0.006,0,"Chir04Ox-b20210.2","DEGs","No"
0,1.33630862729284,0.399,0.006,0,"Chir04Ox-b21490.2","DEGs","No"
0,1.05712667565412,0.33,0.006,0,"Chir07Ox-b21080.2","DEGs","No"
