"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID","source","TF"
0,0.34617967990127,0.493,0.191,0,"Chir01Ox-b14670.2","DEGs","Yes"
3.33870253356537e-133,1.5860137126638,0.177,0.059,6.56388918098951e-129,"Chir01Ox-b40890.2","DEGs","No"
2.56577699341588e-199,1.29157978465989,0.249,0.083,5.04431756905563e-195,"Chir05Ox-b05920.2","DEGs","No"
0,1.19911213908396,0.678,0.308,0,"Chir01Ox-b40930.2","DEGs","No"
0,1.55782794864009,0.672,0.351,0,"Chir03Ox-b00610.2","DEGs","No"
0,1.37703831953107,0.726,0.361,0,"Chir01Ox-b40880.2","DEGs","No"
0,1.11808618124238,0.937,0.625,0,"Chir01Ox-b08930.2","DEGs","No"
0,0.973892520578635,0.937,0.568,0,"Chir04Ox-b09790.2","DEGs","No"
0,0.774973303366448,0.995,0.691,0,"Chir03Ox-b22180.2","DEGs","No"
0,0.74381868142796,0.912,0.537,0,"Chir02Ox-b21810.2","DEGs","No"
0,0.723235389668114,0.656,0.307,0,"Chir01Ox-b05100.2","DEGs","No"
