"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID","source","TF"
0,0.637708618584298,0.562,0.204,0,"Chir06Ox-b00490.2","DEGs","Yes"
0,0.629089734120158,0.693,0.224,0,"Chir02Ox-b16260.2","DEGs","Yes"
1.0505294049082e-258,0.600596386251667,0.708,0.39,2.06534081004953e-254,"Chir01Ox-b04960.2","DEGs","Yes"
0,0.579725763658087,0.577,0.229,0,"Chir03Ox-b13460.2","DEGs","Yes"
3.88788921484738e-262,0.540773962712336,0.732,0.417,7.64359019638996e-258,"Chir08Ox-b28190.2","DEGs","Yes"
0,0.53556099988031,0.352,0.035,0,"Chir01Ox-b35290.2","DEGs","Yes"
0,0.520495385017822,0.309,0.032,0,"Chir05Ox-b16230.2","DEGs","Yes"
0,0.407246654131783,0.338,0.021,0,"Chir06Ox-b35870.2","DEGs","Yes"
3.97548120415938e-303,0.399296659023425,0.477,0.161,7.81579604737733e-299,"Chir08Ox-b28310.2","DEGs","Yes"
4.87522700877914e-286,0.393049220022756,0.509,0.184,9.58469629925979e-282,"Chir03Ox-b32220.2","DEGs","Yes"
0,1.25032866107276,0.514,0.071,0,"Chir07Ox-b11520.2","DEGs","No"
0,2.78190382574622,0.6,0.088,0,"Chir08Ox-b06850.2","DEGs","No"
9.03815944256137e-199,1.11253107277627,0.295,0.088,1.77690214640756e-194,"Chir06Ox-b17160.2","DEGs","No"
0,1.15420024220515,0.566,0.111,0,"Chir02Ox-b14000.2","DEGs","No"
0,1.53833766319912,0.772,0.159,0,"Chir04Ox-b25400.2","DEGs","No"
0,2.99382186255408,0.772,0.174,0,"Chir02Ox-b02980.2","DEGs","No"
0,1.01827772147446,0.81,0.274,0,"Chir01Ox-b33620.2","DEGs","No"
0,1.21088122851608,0.805,0.298,0,"Chir01Ox-b14810.2","DEGs","No"
0,1.41576042960778,0.747,0.319,0,"Chir07Ox-b27160.2","DEGs","No"
0,1.91804310553752,0.867,0.425,0,"Chir01Ox-b21060.2","DEGs","No"
