"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID","source","TF"
0,2.22689059386348,0.469,0.004,0,"Chir02Ox-b15170.2","DEGs","Yes"
0,1.76765200513783,0.542,0.01,0,"Chir03Ox-b32580.2","DEGs","Yes"
5.4593109412638e-24,1.23428584028592,0.177,0.023,1.07330053105246e-19,"Chir08Ox-b27120.2","DEGs","Yes"
7.71107146820581e-167,1.4411509952059,0.531,0.032,1.51599665064926e-162,"Chir07Ox-b33690.2","DEGs","Yes"
1.75837583819192e-168,1.81196171585093,0.552,0.035,3.45696689788532e-164,"Chir07Ox-b30200.2","DEGs","Yes"
7.68607812733701e-93,2.03475011206656,0.521,0.056,1.51108295983446e-88,"Chir05Ox-b02980.2","DEGs","Yes"
2.61989507723406e-86,1.74859600110533,0.531,0.062,5.15071372184216e-82,"Chir04Ox-b23870.2","DEGs","Yes"
1.22749972964233e-10,1.30656789777058,0.229,0.069,2.41326446847682e-06,"Chir07Ox-b35940.2","DEGs","Yes"
6.75520151135611e-38,1.46550558566384,0.49,0.113,1.32807261713261e-33,"Chir03Ox-b21380.2","DEGs","Yes"
2.81201223127246e-44,1.25869914070467,0.542,0.121,5.52841604668167e-40,"Chir01Ox-b41000.2","DEGs","Yes"
0,3.90869307237027,0.104,0,0,"Chir01Ox-b20670.2","DEGs","No"
0,3.12108848081998,0.146,0,0,"Chir06Ox-b22830.2","DEGs","No"
0,1.87979589399406,0.115,0,0,"Chir07Ox-b15730.2","DEGs","No"
0,1.1592593079705,0.354,0.001,0,"Chir02Ox-b02290.2","DEGs","No"
0,1.36461107850937,0.417,0.001,0,"Chir04Ox-b29500.2","DEGs","No"
0,2.83219860858101,0.562,0.002,0,"Chir06Ox-b35840.2","DEGs","No"
0,2.1618476427505,0.531,0.002,0,"Chir08Ox-b22940.2","DEGs","No"
6.27539355756566e-124,1.03511990164116,0.115,0.002,1.23374237341741e-119,"Chir06Ox-b05160.2","DEGs","No"
2.49127031398719e-110,1.47800771368769,0.115,0.002,4.89783743729882e-106,"Chir08Ox-b00330.2","DEGs","No"
0,1.99521319963831,0.479,0.003,0,"Chir01Ox-b00330.2","DEGs","No"
