"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID","source","TF"
0,0.372784446484232,0.359,0.069,0,"Chir04Ox-b10020.2","DEGs","Yes"
5.8023917880075e-262,0.278339060798594,0.679,0.358,1.14075022552227e-257,"Chir01Ox-b08030.2","DEGs","Yes"
0,0.851679413306726,0.873,0.45,0,"Chir04Ox-b28030.2","DEGs","Yes"
0,0.527075134849769,0.859,0.457,0,"Chir08Ox-b00290.2","DEGs","Yes"
0,1.23446109845749,0.769,0.321,0,"Chir04Ox-b28020.2","DEGs","No"
0,1.23598356072468,0.683,0.343,0,"Chir03Ox-b00610.2","DEGs","No"
0,1.70177331877277,0.961,0.347,0,"Chir04Ox-b21570.2","DEGs","No"
0,1.99901451760703,0.89,0.356,0,"Chir06Ox-b18420.2","DEGs","No"
0,1.4473215210119,0.834,0.375,0,"Chir02Ox-b19280.2","DEGs","No"
0,1.50102511411242,0.885,0.4,0,"Chir08Ox-b17400.2","DEGs","No"
0,1.85566157887246,0.862,0.445,0,"Chir04Ox-b16600.2","DEGs","No"
0,1.59286035214135,0.971,0.454,0,"Chir07Ox-b20580.2","DEGs","No"
0,1.0605470663124,0.929,0.552,0,"Chir06Ox-b09380.2","DEGs","No"
0,1.12950686130321,0.908,0.581,0,"Chir01Ox-b20460.2","DEGs","No"
