"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID","source","TF"
0,2.30500937979279,0.923,0.005,0,"Chir03Ox-b24280.2","DEGs","Yes"
0,2.5032212151261,0.885,0.006,0,"Chir05Ox-b23410.2","DEGs","Yes"
0,1.46931128226947,0.856,0.009,0,"Chir06Ox-b36510.2","DEGs","Yes"
6.45584037875397e-92,1.15834961404271,0.817,0.128,1.26921821846303e-87,"Chir02Ox-b03290.2","DEGs","Yes"
3.31639632270616e-38,1.27588556842777,0.894,0.482,6.5200351704403e-34,"Chir07Ox-b26410.2","DEGs","Yes"
9.44648053193754e-30,0.870587368585026,0.942,0.502,1.85717807257892e-25,"Chir04Ox-b02760.2","DEGs","Yes"
1.29092513471994e-188,0.844104664627983,0.212,0.005,2.5379588148594e-184,"Chir07Ox-b03170.2","DEGs","Yes"
1.99948074893591e-279,0.818467488674846,0.702,0.036,3.930979152408e-275,"Chir08Ox-b28260.2","DEGs","Yes"
5.6950784240135e-74,0.745165475618555,0.827,0.187,1.11965241816106e-69,"Chir01Ox-b30900.2","DEGs","Yes"
2.91399940854446e-40,0.725357772618551,0.74,0.212,5.7289228371984e-36,"Chir06Ox-b31830.2","DEGs","Yes"
0,1.2032280485824,0.654,0.001,0,"Chir05Ox-b01300.2","DEGs","No"
0,3.27705371347917,0.481,0.001,0,"Chir06Ox-b11410.2","DEGs","No"
0,1.66935287521109,0.452,0.003,0,"Chir06Ox-b11430.2","DEGs","No"
0,2.87817671577263,0.904,0.004,0,"Chir02Ox-b17620.2","DEGs","No"
0,1.81744148980492,0.452,0.004,0,"Chir06Ox-b11990.2","DEGs","No"
0,3.85350679550413,0.913,0.006,0,"Chir01Ox-b01210.2","DEGs","No"
0,1.74475076417301,0.625,0.006,0,"Chir04Ox-b21420.2","DEGs","No"
0,6.15820806167352,0.567,0.012,0,"Chir06Ox-b13650.2","DEGs","No"
0,1.81557126311838,0.817,0.013,0,"Chir07Ox-b15170.2","DEGs","No"
0,3.819389685766,0.933,0.016,0,"Chir08Ox-b09940.2","DEGs","No"
