"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID","source","TF"
0,1.02718486500207,0.557,0.05,0,"Chir06Ox-b24060.2","DEGs","Yes"
0,1.40549808664711,0.774,0.087,0,"Chir05Ox-b06840.2","DEGs","Yes"
0,1.00837959183328,0.781,0.092,0,"Chir01Ox-b04460.2","DEGs","Yes"
0,1.19074904589752,0.827,0.097,0,"Chir08Ox-b04440.2","DEGs","Yes"
0,1.33644702172935,0.658,0.102,0,"Chir05Ox-b22010.2","DEGs","Yes"
0,1.48116142230605,0.885,0.102,0,"Chir07Ox-b18410.2","DEGs","Yes"
0,1.06975378307044,0.715,0.108,0,"Chir02Ox-b22640.2","DEGs","Yes"
0,0.98089522873358,0.68,0.072,0,"Chir05Ox-b12470.2","DEGs","Yes"
0,0.907225405237917,0.696,0.169,0,"Chir01Ox-b14480.2","DEGs","Yes"
0,0.888274358878031,0.703,0.08,0,"Chir06Ox-b00960.2","DEGs","Yes"
0,1.61101814597489,0.15,0.014,0,"Chir03Ox-b16200.2","DEGs","No"
0,1.22350011635678,0.127,0.016,0,"Chir01Ox-b35540.2","DEGs","No"
0,1.15357259107501,0.371,0.025,0,"Chir02Ox-b22970.2","DEGs","No"
0,1.70940270182316,0.257,0.025,0,"Chir03Ox-b16210.2","DEGs","No"
0,1.02627418184347,0.337,0.027,0,"Chir04Ox-b21990.2","DEGs","No"
0,1.77579451526504,0.226,0.03,0,"Chir01Ox-b08900.2","DEGs","No"
0,1.73745600216841,0.387,0.032,0,"Chir06Ox-b05170.2","DEGs","No"
0,1.01402761313309,0.455,0.04,0,"Chir05Ox-b09500.2","DEGs","No"
0,1.47712313376372,0.668,0.04,0,"Chir06Ox-b21610.2","DEGs","No"
0,1.96015732989109,0.217,0.042,0,"Chir05Ox-b16920.2","DEGs","No"
