"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID","source","TF"
0,1.17933162649042,0.721,0.048,0,"Chir08Ox-b14990.2","DEGs","Yes"
0,1.0344218474181,0.874,0.161,0,"Chir01Ox-b04460.2","DEGs","Yes"
0,1.20999646919334,0.932,0.169,0,"Chir08Ox-b04440.2","DEGs","Yes"
0,1.19037251742661,0.948,0.183,0,"Chir07Ox-b18410.2","DEGs","Yes"
0,1.30174003356484,0.848,0.217,0,"Chir01Ox-b14480.2","DEGs","Yes"
0,0.87740166069909,0.783,0.16,0,"Chir05Ox-b06840.2","DEGs","Yes"
0,0.859886875727098,0.842,0.5,0,"Chir05Ox-b04050.2","DEGs","Yes"
0,0.846564613348879,0.523,0.057,0,"Chir05Ox-b01380.2","DEGs","Yes"
0,0.835158684920109,0.737,0.134,0,"Chir05Ox-b12470.2","DEGs","Yes"
0,0.773741510733275,0.465,0.069,0,"Chir03Ox-b22760.2","DEGs","Yes"
0,2.06536863357232,0.479,0.033,0,"Chir01Ox-b32760.2","DEGs","No"
0,2.23879735170307,0.855,0.042,0,"Chir08Ox-b23340.2","DEGs","No"
0,1.68555046488708,0.616,0.05,0,"Chir05Ox-b27770.2","DEGs","No"
0,2.84285795816023,0.737,0.054,0,"Chir02Ox-b27910.2","DEGs","No"
0,1.51637521935585,0.391,0.092,0,"Chir03Ox-b12040.2","DEGs","No"
1.34586607250175e-268,1.56428752468363,0.362,0.097,2.64597269853844e-264,"Chir08Ox-b30340.2","DEGs","No"
0,1.06656880925983,0.43,0.104,0,"Chir02Ox-b02100.2","DEGs","No"
0,1.09317282691495,0.416,0.109,0,"Chir06Ox-b05150.2","DEGs","No"
0,1.91644412423401,0.462,0.114,0,"Chir04Ox-b24880.2","DEGs","No"
0,1.15315104088812,0.762,0.116,0,"Chir03Ox-b13500.2","DEGs","No"
