"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene_ID","source","TF"
0,1.06757903411481,0.816,0.05,0,"Chir02Ox-b02110.2","DEGs","Yes"
0,0.319602609077518,0.492,0.074,0,"Chir08Ox-b07020.2","DEGs","Yes"
0,0.792568087844838,0.674,0.077,0,"Chir03Ox-b16050.2","DEGs","Yes"
0,0.36325137139359,0.607,0.147,0,"Chir08Ox-b00690.2","DEGs","Yes"
0,0.535949387433292,0.69,0.149,0,"Chir07Ox-b35530.2","DEGs","Yes"
0,0.350679631886486,0.678,0.196,0,"Chir06Ox-b27720.2","DEGs","Yes"
2.8179332892703e-233,0.330910483746652,0.669,0.297,5.54005684670541e-229,"Chir07Ox-b20760.2","DEGs","Yes"
0,0.499520130775337,0.923,0.574,0,"Chir01Ox-b38410.2","DEGs","Yes"
0,1.17046324742438,0.715,0.037,0,"Chir07Ox-b11460.2","DEGs","No"
0,1.58941821597258,0.732,0.04,0,"Chir08Ox-b18100.2","DEGs","No"
0,1.72439682112989,0.901,0.058,0,"Chir05Ox-b17110.2","DEGs","No"
0,1.03800576158691,0.728,0.066,0,"Chir03Ox-b10770.2","DEGs","No"
0,1.35344916541567,0.828,0.067,0,"Chir05Ox-b17060.2","DEGs","No"
0,2.64450181384348,0.924,0.069,0,"Chir05Ox-b16570.2","DEGs","No"
0,1.12126695580209,0.535,0.07,0,"Chir05Ox-b16620.2","DEGs","No"
0,2.38230176080105,0.728,0.073,0,"Chir08Ox-b30340.2","DEGs","No"
0,1.84096551627743,0.89,0.074,0,"Chir02Ox-b02100.2","DEGs","No"
0,1.80455969004824,0.913,0.076,0,"Chir06Ox-b05150.2","DEGs","No"
