"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","coefficient","rank","p_val","p_val_adj","TF","TF_family","Gene_functions","source"
"Chir01Ox-b43670.2","Chir01Ox-b43670.2","AT1G55260","LTPG6",1.27631751814167,0.585,0.045,0.305239657534762,16,0,0,NA,NA,"defense response to fungus, membrane, nucleus","GEP_27"
"Chir06Ox-b24060.2","Chir06Ox-b24060.2","AT5G15310","ATMYB16",1.02718486500207,0.557,0.05,0.44235149293736,3,0,0,"Yes","MYB","cell morphogenesis, cuticle pattern formation, DNA-binding transcription factor activity, nucleus, regulation of cutin biosynthetic process","GEP_27"
"Chir05Ox-b15810.2","Chir05Ox-b15810.2","AT3G50470","HR3",1.19610367741964,0.753,0.063,0.304861064472164,17,0,0,NA,NA,"defense response to fungus, molecular_function, response to fungus","GEP_27"
"Chir04Ox-b23240.2","Chir04Ox-b23240.2","AT2G40475","ASG8",1.44571757237794,0.767,0.077,0.367819555276077,7,0,0,NA,NA,"carbohydrate derivative metabolic process, leaf development, molecular_function, nucleus, oxoacid metabolic process, plant organ morphogenesis, plant-type cell wall organization or biogenesis, porphyrin-containing compound metabolic process, secondary metabolic process, shoot system morphogenesis, tropism","GEP_27"
"Chir06Ox-b14130.2","Chir06Ox-b14130.2","AT5G25610","ATRD22",2.01701840733307,0.85,0.082,0.311925285127296,15,0,0,NA,NA,"endosome, extracellular region, Golgi apparatus, mRNA binding, nutrient reservoir activity, response to abscisic acid, response to desiccation, response to salt stress, trans-Golgi network","GEP_27"
"Chir03Ox-b04520.2","Chir03Ox-b04520.2","AT3G05165","AT3G05165.6",1.58691375889373,0.745,0.085,0.290907811261691,19,0,0,NA,NA,"membrane, mitochondrion, sugar transmembrane transporter activity, transmembrane transport, transmembrane transporter activity","GEP_27"
"Chir01Ox-b05720.2","Chir01Ox-b05720.2","AT1G06360","AT1G06360.1",2.0102020032008,0.754,0.09,0.316281513141738,11,0,0,NA,NA,"16:0 monogalactosyldiacylglycerol desaturase activity, acyl-CoA desaturase activity, endoplasmic reticulum, endoplasmic reticulum membrane, mitochondrion, oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water, unsaturated fatty acid biosynthetic process, wax biosynthetic process","GEP_27"
"Chir03Ox-b24710.2","Chir03Ox-b24710.2","AT3G24420","AT3G24420.1",2.24076641803794,0.668,0.092,0.250506019533016,28,0,0,NA,NA,"catabolic process, cytoplasm, lipid metabolic process, nucleus, response to abscisic acid, response to hypoxia, response to jasmonic acid, response to light stimulus, secondary metabolic process","GEP_27"
"Chir03Ox-b16150.2","Chir03Ox-b16150.2","AT3G16370","AT3G16370.1",2.47589207382651,0.891,0.094,0.316265948459059,12,0,0,NA,NA,"apoplast, chloroplast, hydrolase activity, acting on ester bonds","GEP_27"
"Chir07Ox-b12070.2","Chir07Ox-b12070.2","AT4G15620","AT4G15620.1",1.75355928162931,0.847,0.099,0.289407609678497,20,0,0,NA,NA,"4 iron, 4 sulfur cluster binding, mitochondrion, plasma membrane, regulation of cellular component organization, regulation of cellular component size","GEP_27"
