"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source","rank"
"Chir03Ox-b14400.2","Chir03Ox-b14400.2","AT3G14780","AT3G14780.1",1.07083463219721,0.118,0.002,0,0,NA,NA,"biological_process, glucosyltransferase activity, nucleus, plasma membrane","DEGs",1
"Chir01Ox-b24800.2","Chir01Ox-b24800.2","AT1G26450","T1K7.18",1.2137907552906,0.105,0.003,0,0,NA,NA,"biological_process, extracellular region, membrane, molecular_function, nucleus","DEGs",2
"Chir05Ox-b04070.2","Chir05Ox-b04070.2","AT3G26760","MDJ14.5",1.36024167780605,0.524,0.007,0,0,NA,NA,"mitochondrion, root development, tissue development, zinc ion binding","DEGs",3
"Chir06Ox-b14280.2","Chir06Ox-b14280.2","AT5G25490","T14C9.30",1.20763254463323,0.328,0.009,0,0,NA,NA,"cell differentiation, cellular component biogenesis, cytoplasm, mRNA binding, nucleus, porphyrin-containing compound metabolic process, regionalization, regulation of biological quality, response to light stimulus, RNA binding","DEGs",4
"Chir06Ox-b19550.2","Chir06Ox-b19550.2","AT5G19530","AT5G19530.1",1.40938642391946,0.218,0.009,0,0,NA,NA,"auxin polar transport, cytoplasm, nucleus, phloem or xylem histogenesis, polyamine biosynthetic process, spermine synthase activity, thermospermine synthase activity, unidimensional cell growth, xylem vessel member cell differentiation","DEGs",5
"Chir06Ox-b14960.2","Chir06Ox-b14960.2","AT5G24800","ATBZIP9",2.05036473716432,0.36,0.011,0,0,"Yes","bZIP","cellular response to glucose stimulus, DNA-binding transcription factor activity, nucleus, protein binding, protein heterodimerization activity, protein homodimerization activity, regulation of DNA-templated transcription, transcription cis-regulatory region binding","DEGs",6
"Chir03Ox-b28030.2","Chir03Ox-b28030.2","AT2G13820","AtXYP2",2.06520291971442,0.5,0.014,0,0,NA,NA,"extracellular region, lipid binding, lipid transport, plasma membrane, xylem development","GEP_10and DEGs",7
"Chir05Ox-b27550.2","Chir05Ox-b27550.2","AT3G61850","DAG1",0.807345027164595,0.515,0.019,0,0,"Yes","Dof","chromatin binding, DNA-binding transcription factor activity, negative regulation of DNA-templated transcription, nucleus, regulation of DNA-templated transcription, response to red or far red light, seed germination, transcription cis-regulatory region binding","GEP_10and DEGs",8
"Chir02Ox-b17390.2","Chir02Ox-b17390.2","AT1G70830","MLP28",3.2804299101387,0.303,0.019,0,0,NA,NA,"cell wall polysaccharide metabolic process, chloroplast, cytoplasm, cytosol, defense response, mitochondrion, molecular_function, nucleus","DEGs",9
"Chir03Ox-b15440.2","Chir03Ox-b15440.2","AT3G15680","MSJ11.28",2.26029098807835,0.402,0.025,0,0,NA,NA,"cytoplasm, mRNA binding, nucleus, RNA binding, tissue development","DEGs",10
