"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source","rank"
"Chir06Ox-b36350.2","Chir06Ox-b36350.2","AT5G02600","NPCC6",1.02199647549724,0.284,0.001,0,0,NA,NA,"chloroplast, cytoplasm, flower development, metal ion binding, nucleus, phloem transport, root morphogenesis, sodium ion homeostasis","GEP_31and DEGs",1
"Chir03Ox-b29450.2","Chir03Ox-b29450.2","AT2G15310","ATARFB1A",1.18359377779322,0.209,0.002,0,0,NA,NA,"cytoplasm, Golgi apparatus, GTP binding, GTPase activity, intracellular protein transport, N-terminal protein myristoylation, vesicle-mediated transport","GEP_31and DEGs",2
"Chir04Ox-b29550.2","Chir04Ox-b29550.2","AT2G46630","T3A4.1",1.91146004430918,0.244,0.002,0,0,NA,NA,"molecular_function, nucleus, tissue development","GEP_31and DEGs",3
"Chir08Ox-b16630.2","Chir08Ox-b16630.2","AT5G54660","MRB17.16",1.05577832325546,0.259,0.002,0,0,NA,NA,"biological_process, chloroplast, molecular_function","GEP_31and DEGs",4
"Chir05Ox-b02240.2","Chir05Ox-b02240.2","AT2G03500","HHO4",0.53915224605511,0.249,0.002,0,0,"Yes","G2-like","DNA-binding transcription factor activity, gibberellic acid mediated signaling pathway, histone H3-K36 methylation, negative regulation of long-day photoperiodism, flowering, negative regulation of nucleic acid-templated transcription, nucleus, protein binding, regulation of DNA-templated transcription, response to temperature stimulus","DEGs",5
"Chir04Ox-b18890.2","Chir04Ox-b18890.2","AT2G36650","F13K3.5",1.08499297188212,0.1,0.002,2.0384023575071e-137,4.00749903485895e-133,NA,NA,"alpha-amino acid metabolic process, cellular response to hormone stimulus, cellular response to oxygen-containing compound, chloroplast organization, chloroplast outer membrane, defense response to other organism, molecular_function, nucleus, regulation of defense response, response to chitin, response to jasmonic acid, response to wounding, signal transduction","DEGs",6
"Chir02Ox-b16470.2","Chir02Ox-b16470.2","AT1G69970","AT1G69970.2",0.882949007869979,0.214,0.003,0,0,NA,NA,"apoplast, cell-cell signaling involved in cell fate commitment, maintenance of root meristem identity, mitochondrion, phloem development, receptor serine/threonine kinase binding, regulation of cell differentiation","GEP_3and DEGs",7
"Chir06Ox-b36800.2","Chir06Ox-b36800.2","AT5G02140","AT5G02140.1",0.688997145139453,0.159,0.003,3.50776822477595e-286,6.89627232990952e-282,NA,NA,"defense response, extracellular region, protein binding","GEP_3and DEGs",8
"Chir03Ox-b21760.2","Chir03Ox-b21760.2","AT3G21600","MIL23.17",1.30028364489345,0.264,0.003,0,0,NA,NA,"molecular_function, nucleus, plasma membrane, response to inorganic substance, secondary metabolic process","GEP_31and DEGs",9
"Chir07Ox-b12590.2","Chir07Ox-b12590.2",NA,NA,1.56878150852532,0.244,0.003,0,0,NA,NA,NA,"GEP_31and DEGs",10
"Chir08Ox-b05320.2","Chir08Ox-b05320.2",NA,NA,3.0505224638897,0.219,0.004,0,0,NA,NA,NA,"GEP_3and DEGs",11
"Chir02Ox-b26600.2","Chir02Ox-b26600.2","AT1G79430","WDY",1.66877703173416,0.323,0.004,0,0,"Yes","G2-like","DNA-binding transcription factor activity, mitochondrion, nucleus, phloem development, positive regulation of DNA-templated transcription, protein binding, regulation of DNA-templated transcription, xylem development","GEP_31and DEGs",12
"Chir04Ox-b12270.2","Chir04Ox-b12270.2","AT2G30540","ROXY7",1.59291978232654,0.124,0.004,6.74959472620227e-138,1.32697032317137e-133,NA,NA,"cytoplasm, glutathione oxidoreductase activity, nucleus, protein binding","DEGs",13
"Chir07Ox-b19200.2","Chir07Ox-b19200.2",NA,NA,4.58184073783856,0.1,0.004,5.97141293972021e-86,1.17397978394899e-81,NA,NA,NA,"DEGs",14
"Chir03Ox-b00160.2","Chir03Ox-b00160.2",NA,NA,0.656158978639591,0.179,0.008,5.55479369267417e-147,1.09207243997974e-142,NA,NA,NA,"GEP_3and DEGs",15
