"","gene_ID","AT_ID","Gene_code_name","avg_log2FC","pct.1","pct.2","p_val","p_val_adj","TF","TF_family","Gene_functions","source","rank"
"Chir07Ox-b02670.2","Chir07Ox-b02670.2",NA,NA,0.449840997014239,0.155,0.022,4.15448489414737e-202,8.16771730189374e-198,NA,NA,NA,"GEP_40",1
"Chir07Ox-b14860.2","Chir07Ox-b14860.2","AT4G17980","anac071",0.324327718970727,0.143,0.033,2.42722537712746e-105,4.77192509143259e-101,"Yes","NAC","cell division, cellular response to auxin stimulus, DNA binding, DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, response to wounding, sequence-specific DNA binding","DEGs",2
"Chir08Ox-b24790.2","Chir08Ox-b24790.2","AT5G62280","MMI9.11",0.779675319050755,0.24,0.035,0,0,NA,NA,"cellular response to ethylene stimulus, cellular_component, lipid metabolic process, molecular_function, organelle organization, organic hydroxy compound metabolic process, plant epidermis development, root morphogenesis","DEGs",3
"Chir02Ox-b15590.2","Chir02Ox-b15590.2","AT1G69180","CRC",1.39005720426681,0.378,0.061,0,0,"Yes","YABBY","carpel development, cell fate commitment, DNA-binding transcription factor activity, floral meristem determinacy, leaf development, nectary development, nucleus, polarity specification of adaxial/abaxial axis, protein binding, regulation of DNA-templated transcription, sequence-specific DNA binding, style development, transcription cis-regulatory region binding","GEP_40and DEGs",4
"Chir08Ox-b22680.2","Chir08Ox-b22680.2","AT5G60200","DOF5.3",0.319351406987423,0.289,0.082,1.18902482072443e-162,2.33762279754422e-158,"Yes","Dof","DNA-binding transcription factor activity, nucleus, phloem or xylem histogenesis, regulation of DNA-templated transcription, root development, root radial pattern formation, transcription cis-regulatory region binding","DEGs",5
"Chir02Ox-b16950.2","Chir02Ox-b16950.2",NA,NA,0.573376752214406,0.34,0.087,1.02593725148382e-235,2.0169926364172e-231,NA,NA,NA,"DEGs",6
"Chir02Ox-b10470.2","Chir02Ox-b10470.2","AT1G65090","AT1G65090.3",0.405566543299763,0.407,0.103,1.78804097894041e-303,3.51528856459684e-299,NA,NA,"cytoplasm, lipid droplet, nucleus, protein binding, seed development","GEP_40",7
"Chir05Ox-b28960.2","Chir05Ox-b28960.2","AT3G63300","AT3G63300.1",1.15461190206621,0.596,0.109,0,0,NA,NA,"auxin-activated signaling pathway, chloroplast, leaf vascular tissue pattern formation, nucleus, phloem or xylem histogenesis, phosphatidylinositol binding, post-Golgi vesicle-mediated transport, protein binding, response to auxin, signal transduction, trans-Golgi network","DEGs",8
"Chir04Ox-b00160.2","Chir04Ox-b00160.2","AT2G21050","LAX2",0.8972649414425,0.451,0.116,0,0,NA,NA,"amino acid transmembrane transport, amino acid transmembrane transporter activity, cotyledon vascular tissue pattern formation, membrane, plasma membrane, response to nematode, root cap development","DEGs",9
"Chir04Ox-b02390.2","Chir04Ox-b02390.2","AT2G23180","CYP96A1",0.44367108696058,0.458,0.126,0,0,NA,NA,"embryo development, extracellular region, heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, response to light stimulus, seed development","GEP_40",10
"Chir05Ox-b15760.2","Chir05Ox-b15760.2","AT3G50410","DOF3.4",0.835166110332005,0.56,0.133,0,0,"Yes","Dof","cell wall modification, DNA binding, DNA-binding transcription factor activity, nucleus, positive regulation of cell cycle, positive regulation of DNA-templated transcription, protein binding, response to auxin, response to salicylic acid, transcription cis-regulatory region binding, zinc ion binding","DEGs",11
"Chir07Ox-b24620.2","Chir07Ox-b24620.2","AT4G27450","AT4G27450.1",0.413196810443001,0.446,0.145,1.86657512865316e-224,3.66968670293212e-220,NA,NA,"cellular response to hypoxia, plasma membrane, plasmodesma, protein binding, response to hypoxia, response to light intensity","GEP_40",12
"Chir08Ox-b29440.2","Chir08Ox-b29440.2","AT5G66940","AT5G66940.1",1.56098102893428,0.663,0.171,0,0,"Yes","Dof","DNA binding, DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription, transcription cis-regulatory region binding, zinc ion binding","DEGs",13
"Chir01Ox-b26840.2","Chir01Ox-b26840.2","AT1G28110","SCPL45",0.502920372915082,0.594,0.175,0,0,NA,NA,"chloroplast, plant-type cell wall, plasmodesma, serine-type carboxypeptidase activity","GEP_40",14
"Chir01Ox-b19750.2","Chir01Ox-b19750.2","AT1G19850","ARF5",0.973883206569267,0.69,0.197,0,0,"Yes","ARF","DNA-binding transcription factor activity, embryo development ending in seed dormancy, flower development, identical protein binding, leaf vascular tissue pattern formation, longitudinal axis specification, meristem development, nucleus, protein binding, regulation of DNA-templated transcription, response to auxin, root development, transcription cis-regulatory region binding, xylem and phloem pattern formation","DEGs",15
"Chir03Ox-b13250.2","Chir03Ox-b13250.2","AT3G13810","AtIDD11",0.290730555362995,0.52,0.216,2.55876381818912e-171,5.03052966655981e-167,"Yes","C2H2","DNA-binding transcription factor activity, nucleus, regulation of DNA-templated transcription","DEGs",16
"Chir04Ox-b02400.2","Chir04Ox-b02400.2","AT2G23170","AT2G23170.1",1.50789222143842,0.666,0.274,0,0,NA,NA,"acid-amino acid ligase activity, auxin homeostasis, cytoplasm, indole-3-acetic acid amido synthetase activity, nucleus","DEGs",17
"Chir06Ox-b28190.2","Chir06Ox-b28190.2","AT5G11060","KNAT4",0.455328625173812,0.618,0.299,3.59146878086072e-196,7.06082762317219e-192,"Yes","TALE","cytoplasm, cytosol, DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, regulation of transcription by RNA polymerase II, response to light stimulus, RNA polymerase II cis-regulatory region sequence-specific DNA binding","DEGs",18
"Chir04Ox-b11550.2","Chir04Ox-b11550.2","AT2G29980","FAD3",0.686734809907149,0.715,0.299,0,0,NA,NA,"1-16:0-2-18:2-phosphatidylcholine desaturase activity, 1-18:1-2-18:2-phosphatidylcholine desaturase activity (SN2-18:3 forming), 1-18:2-2-18:2-sn-glycerol-3-phosphocholine desaturase activity, 1-18:2-2-18:2-sn-glycerol-3-phosphocholine desaturase activity (SN2-18:3 forming), chloroplast, endoplasmic reticulum, omega-3 fatty acid desaturase activity, oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water, unsaturated fatty acid biosynthetic process","DEGs",19
"Chir01Ox-b21220.2","Chir01Ox-b21220.2","AT1G21460","AT1G21460.2",1.01062152611201,0.713,0.304,0,0,NA,NA,"carbohydrate transport, chloroplast, endoplasmic reticulum, endoplasmic reticulum membrane, extracellular region, plasma membrane, protein binding, protein homooligomerization, sugar transmembrane transporter activity","DEGs",20
"Chir06Ox-b04170.2","Chir06Ox-b04170.2","AT5G44680","AT5G44680.1",0.543582191582116,0.641,0.311,3.42657100125277e-188,6.73663858846295e-184,NA,NA,"base-excision repair, DNA-3-methyladenine glycosylase activity, growth, nucleus, porphyrin-containing compound metabolic process, response to light stimulus","DEGs",21
"Chir01Ox-b29910.2","Chir01Ox-b29910.2","AT1G31320","AT1G31320.1",0.630154892179037,0.67,0.356,3.44686140741841e-186,6.77652952698459e-182,"Yes","LBD","nucleus, phloem or xylem histogenesis, protein binding, transcription cis-regulatory region binding","DEGs",22
"Chir01Ox-b04960.2","Chir01Ox-b04960.2","AT1G05710","F3F20.16",0.439742376771444,0.7,0.395,7.80936415796055e-146,1.53532099345504e-141,"Yes","bHLH","DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, nucleus, protein binding, protein dimerization activity, regulation of transcription by RNA polymerase II, RNA polymerase II cis-regulatory region sequence-specific DNA binding","DEGs",23
